"series","episode","first_name","last_name","baker_age","baker_occupation","hometown","signature_bake","show_stopper","technical","result","viewers"
"4",4,"Ruby","Tandoh",20,"History of Art and Philosophy Student","Southend, Essex","Apple and Marzipan Pie","Rose, Almond and Raspberry Filo Pie",6,"IN",6.82
"4",4,"Ali","Imdad",25,"Charity worker","Saltley, Birmingham","Apple and Ginger Pie with a Pecan and Walnut Shortcrust Pastry","Orange, Cardamom and Date M'Hanncha",8,"OUT",6.82
"4",4,"Beca","Lyne-Pirkis",31,"Military Wives' Choir Singer","Aldershot, Hampshire","Mamgu's Cherry-Apple Tart","Moroccan Vegetable Filo Feast",2,"IN",6.82
"4",4,"Robert","Smart",54,"Space Satellite Designer","Melbourn, Cambridgeshire","Apple and Pear Pie with Thyme","Spanakopita with St George's Mushrooms",3,"IN",6.82
"4",4,"Frances","Quinn",31,"Children's Clothes Designer","Market Harborough, Leicestershire","Peach Pie In the Sky","Cherry Tree Baklava Filo Pie",1,"IN",6.82
"4",5,"Christine","Wallace",66,"Director of an engraving company","Didcot, Oxfordshire","Mixed Berry and Almond Crumble Traybake","Shortbread Bavarian Clock Tower",1,"STAR BAKER",6.95
"4",5,"Ruby","Tandoh",20,"History of Art and Philosophy Student","Southend, Essex","Blackberry and Lemon Bakewell Slice","'Dropped Ice-Cream' Biscuit Centrepiece",6,"IN",6.95
"4",5,"Robert","Smart",54,"Space Satellite Designer","Melbourn, Cambridgeshire","Blueberry & Orange Traybake","Dalek",4,"OUT",6.95
"4",5,"Frances","Quinn",31,"Children's Clothes Designer","Market Harborough, Leicestershire","Millionaire Banoffee Bonus","Biscuit Buttons and Beads",3,"IN",6.95
"4",5,"Beca","Lyne-Pirkis",31,"Military Wives' Choir Singer","Aldershot, Hampshire","Chocolate, Cherry and Hazelnut Brownies","Tiered Macaron and Sugar Dough Biscuit Centrepiece",5,"IN",6.95
"4",5,"Kimberley","Wilson",30,"Psychologist","London","Cherry and Almond Bakewell Florentine Slice","Black and White Viennese Biscuit Stack",7,"IN",6.95
"4",5,"Glenn","Cosby",37,"English Teacher","Teignmouth, Devon","Apricot and Pistachio Tiffin","Shortbread and Macaron Helter-Skelter",2,"IN",6.95
"4",5,"Howard","Middleton",51,"Council Worker","Sheffield","Breakfast Traybake","Japanese Pagoda Tea Tower",8,"IN",6.95
"4",6,"Christine","Wallace",66,"Director of an engraving company","Didcot, Oxfordshire","Oxford Nutty Fruit Loaf","Schnecken BunsVanilla Custard Skolebrød",4,"IN",7.32
"4",6,"Kimberley","Wilson",30,"Psychologist","London","Chai Spiced Ginger and Date Tea Loaf","Double Chocolate and Hazelnut BriochesDanish Kanelsnurrer",3,"IN",7.32
"4",6,"Glenn","Cosby",37,"English Teacher","Teignmouth, Devon","Devonshire Panettone","Almond and Apricot BriochesSticky Caramel Kanelbullen",5,"IN",7.32
"4",6,"Howard","Middleton",51,"Council Worker","Sheffield","Date & Hemp Yorkshire Loaf","Peachy BunsGerman Baumschnecken",7,"OUT",7.32
